nombre,marca,modelo,sku,categoria,condicion,estado,stock,stockMinimo,costoUSD,precioVentaBaseUSD
Accesorio Brazo para Microfono,,,ACCESORIO-BRAZO-PARA-MICROFONO,ACCESORIOS,nuevo,activo,6,1,0,0
Accesorio Capturadora de Video NZXT Signal,,,ACCESORIO-CAPTURADORA-DE-VIDEO-NZX,ACCESORIOS,nuevo,activo,0,1,0,0
Accesorio Capturadora de Video Redragon,,,ACCESORIO-CAPTURADORA-DE-VIDEO-RED,ACCESORIOS,nuevo,activo,0,1,0,0
Accesorio Consola de sonido Mixer Grande,,,ACCESORIO-CONSOLA-DE-SONIDO-MIXER-,ACCESORIOS,nuevo,activo,2,1,0,0
Accesorio Convertidor Bluthooth carro,,,ACCESORIO-CONVERTIDOR-BLUTHOOTH-CA,ACCESORIOS,nuevo,activo,0,1,0,0
Accesorio Dedales gamer,,,ACCESORIO-DEDALES-GAMER,ACCESORIOS,nuevo,activo,0,1,0,0
Accesorio Extension de puertos USB PCIe orico,,,ACCESORIO-EXTENSION-DE-PUERTOS-USB,ACCESORIOS,nuevo,activo,0,1,0,0
Accesorio Fire Stick 4K,,,ACCESORIO-FIRE-STICK-4K,ACCESORIOS,nuevo,activo,0,1,0,0
Accesorio Fire Stick Tv HD,,,ACCESORIO-FIRE-STICK-TV-HD,ACCESORIOS,nuevo,activo,3,1,0,0
"Accesorio Game Box Ps5 mini, juego",,,ACCESORIO-GAME-BOX-PS5-MINI-JUEGO,ACCESORIOS,nuevo,activo,2,1,0,0
Accesorio Hub 3 Puertos,,,ACCESORIO-HUB-3-PUERTOS,ACCESORIOS,nuevo,activo,9,1,0,0
Accesorio Hub 4 en 1 4k,,,ACCESORIO-HUB-4-EN-1-4K,ACCESORIOS,nuevo,activo,2,1,0,0
Accesorio Hub 7 Puertos,,,ACCESORIO-HUB-7-PUERTOS,ACCESORIOS,nuevo,activo,1,1,0,0
"Accesorio Hub 8 multipuertos, caja amarilla",,,ACCESORIO-HUB-8-MULTIPUERTOS-CAJA-,ACCESORIOS,nuevo,activo,0,1,0,0
Accesorio Hub fan cooler caja gris,,,ACCESORIO-HUB-FAN-COOLER-CAJA-GRIS,COOLING,nuevo,activo,0,1,0,0
Accesorio Hub fan cooler interno pc,,,ACCESORIO-HUB-FAN-COOLER-INTERNO-P,COOLING,nuevo,activo,0,1,0,0
Accesorio Kit de Destornilladores,,,ACCESORIO-KIT-DE-DESTORNILLADORES,ACCESORIOS,nuevo,activo,4,1,0,0
Accesorio Lector Macro SD,,,ACCESORIO-LECTOR-MACRO-SD,ACCESORIOS,nuevo,activo,3,1,0,0
Accesorio Lector Macro y Micro SD,,,ACCESORIO-LECTOR-MACRO-Y-MICRO-SD,ACCESORIOS,nuevo,activo,2,1,0,0
Accesorio Luces Led,,,ACCESORIO-LUCES-LED,ACCESORIOS,nuevo,activo,3,1,0,0
Accesorio Pantalla Streaming Redragon StreamCraf,,,ACCESORIO-PANTALLA-STREAMING-REDRA,ACCESORIOS,nuevo,activo,1,1,0,0
Accesorio Pilas 2032,,,ACCESORIO-PILAS-2032,ACCESORIOS,nuevo,activo,0,1,0,0
Accesorio Repetidor WIFI,,,ACCESORIO-REPETIDOR-WIFI,ACCESORIOS,nuevo,activo,0,1,0,0
Accesorio Reposa Mu�eca Redragon,,,ACCESORIO-REPOSA-MU-ECA-REDRAGON,ACCESORIOS,nuevo,activo,0,1,0,0
Accesorio Soporte para grafica,,,ACCESORIO-SOPORTE-PARA-GRAFICA,ACCESORIOS,nuevo,activo,3,1,0,0
Accesorio Spliter HDMI,,,ACCESORIO-SPLITER-HDMI,ACCESORIOS,nuevo,activo,0,1,0,0
Accesorio Switch Cudy 5 puertos gigabit,,,ACCESORIO-SWITCH-CUDY-5-PUERTOS-GI,ACCESORIOS,nuevo,activo,2,1,0,0
Accesorio Switch Cudy 8 puertos gigabit,,,ACCESORIO-SWITCH-CUDY-8-PUERTOS-GI,ACCESORIOS,nuevo,activo,0,1,0,0
Accesorio Switches HDMI,,,ACCESORIO-SWITCHES-HDMI,ACCESORIOS,nuevo,activo,0,1,0,0
Accesorio Tarjeta de Sonido blanca sencilla,,,ACCESORIO-TARJETA-DE-SONIDO-BLANCA,ACCESORIOS,nuevo,activo,3,1,0,0
Accesorio Tarjeta de Sonido bolsita transparente,,,ACCESORIO-TARJETA-DE-SONIDO-BOLSIT,ACCESORIOS,nuevo,activo,1,1,0,0
Accesorio Tarjeta de sonido negra,,,ACCESORIO-TARJETA-DE-SONIDO-NEGRA,ACCESORIOS,nuevo,activo,0,1,0,0
"Accesorio Tarjeta de sonido Sound Blaster, caja negra",,,ACCESORIO-TARJETA-DE-SONIDO-SOUND-,ACCESORIOS,nuevo,activo,0,1,0,0
Accesorio Thermalpads (67=0.5 / 21=1.0 / 21=1.5),,,ACCESORIO-THERMALPADS-67-0-5-21-1-,ACCESORIOS,nuevo,activo,0,1,0,0
Adaptador Bluethooth 5.0,,,ADAPTADOR-BLUETHOOTH-5-0,ACCESORIOS,nuevo,activo,0,1,0,0
Adaptador Bluethooth 5.3,,,ADAPTADOR-BLUETHOOTH-5-3,ACCESORIOS,nuevo,activo,6,1,0,0
Adaptador Bluetooth para carro,,,ADAPTADOR-BLUETOOTH-PARA-CARRO,ACCESORIOS,nuevo,activo,5,1,0,0
Adaptador DP - HDMI,,,ADAPTADOR-DP-HDMI,ACCESORIOS,nuevo,activo,15,1,0,0
Adaptador DP - VGA,,,ADAPTADOR-DP-VGA,ACCESORIOS,nuevo,activo,0,1,0,0
Adaptador DVI - HDMI peque�o,,,ADAPTADOR-DVI-HDMI-PEQUE-O,ACCESORIOS,nuevo,activo,4,1,0,0
Adaptador DVI - VGA,,,ADAPTADOR-DVI-VGA,ACCESORIOS,nuevo,activo,7,1,0,0
Adaptador DVI - VGA peque�o,,,ADAPTADOR-DVI-VGA-PEQUE-O,ACCESORIOS,nuevo,activo,0,1,0,0
"Adaptador ethernet - USB (Doble Banda), caja azul",,,ADAPTADOR-ETHERNET-USB-DOBLE-BANDA,ACCESORIOS,nuevo,activo,0,1,0,0
Adaptador HDMI - USB,,,ADAPTADOR-HDMI-USB,ACCESORIOS,nuevo,activo,0,1,0,0
Adaptador HDMI - VGA,,,ADAPTADOR-HDMI-VGA,ACCESORIOS,nuevo,activo,16,1,0,0
Adaptador HDMI- Tipo C laptop,,,ADAPTADOR-HDMI-TIPO-C-LAPTOP,ACCESORIOS,nuevo,activo,0,1,0,0
Adaptador Jack (1 a 2) cable Audio Y,,,ADAPTADOR-JACK-1-A-2-CABLE-AUDIO-Y,ACCESORIOS,nuevo,activo,11,1,0,0
Adaptador Jack (2 a 1) cable Audio Y,,,ADAPTADOR-JACK-2-A-1-CABLE-AUDIO-Y,ACCESORIOS,nuevo,activo,7,1,0,0
Adaptador RCA - Plug,,,ADAPTADOR-RCA-PLUG,ACCESORIOS,nuevo,activo,0,1,0,0
Adaptador Tipo C - HDMI,,,ADAPTADOR-TIPO-C-HDMI,ACCESORIOS,nuevo,activo,4,1,0,0
Adaptador Union de cable Lan,,,ADAPTADOR-UNION-DE-CABLE-LAN,ACCESORIOS,nuevo,activo,9,1,0,0
Adaptador USB C a HDMI/VGA,,,ADAPTADOR-USB-C-A-HDMI-VGA,ACCESORIOS,nuevo,activo,0,1,0,0
Adaptador VGA - HDMI (caja azul),,,ADAPTADOR-VGA-HDMI-CAJA-AZUL,ACCESORIOS,nuevo,activo,0,1,0,0
Adaptador VGA - HDMI (caja verde),,,ADAPTADOR-VGA-HDMI-CAJA-VERDE,ACCESORIOS,nuevo,activo,0,1,0,0
Almacenamiento externo 1 TB Kinspec,,,ALMACENAMIENTO-EXTERNO-1-TB-KINSPE,ALMACENAMIENTO,nuevo,activo,0,1,0,0
Almacenamiento externo HDD 1 TB Seagate,,,ALMACENAMIENTO-EXTERNO-HDD-1-TB-SE,HDD,nuevo,activo,0,1,0,0
Almacenamiento externo HDD 1 TB Toshiba,,,ALMACENAMIENTO-EXTERNO-HDD-1-TB-TO,HDD,nuevo,activo,0,1,0,0
Almacenamiento externo HDD 2 TB Seagate,,,ALMACENAMIENTO-EXTERNO-HDD-2-TB-SE,HDD,nuevo,activo,0,1,0,0
Almacenamiento externo HDD 2 TB Toshiba,,,ALMACENAMIENTO-EXTERNO-HDD-2-TB-TO,HDD,nuevo,activo,0,1,0,0
Almacenamiento externo SSD 1 TB Crucial 1050 mb,,,ALMACENAMIENTO-EXTERNO-SSD-1-TB-CR,SSD,nuevo,activo,0,1,0,0
Almacenamiento externo SSD 500 GB Adata,,,ALMACENAMIENTO-EXTERNO-SSD-500-GB-,SSD,nuevo,activo,0,1,0,0
Almacenamiento HDD 1 TB Refurb. WD Morado Gde.,,,ALMACENAMIENTO-HDD-1-TB-REFURB-WD-,HDD,refurbished,activo,0,1,0,0
Almacenamiento HDD 1 TB WD Azul,,,ALMACENAMIENTO-HDD-1-TB-WD-AZUL,HDD,nuevo,activo,0,1,0,0
Almacenamiento HDD 4 TB WD Morado Gde.,,,ALMACENAMIENTO-HDD-4-TB-WD-MORADO-,HDD,nuevo,activo,0,1,0,0
Almacenamiento HDD 500 GB Refurb. Laptop Hitachi,,,ALMACENAMIENTO-HDD-500-GB-REFURB-L,HDD,refurbished,activo,7,1,0,0
Almacenamiento HDD 500 GB Refurb. Laptop surtido,,,ALMACENAMIENTO-HDD-500-GB-REFURB-L-2,HDD,refurbished,activo,0,1,0,0
Almacenamiento HDD 500 GB Refurb. Seagate Gde.,,,ALMACENAMIENTO-HDD-500-GB-REFURB-S,HDD,refurbished,activo,6,1,0,0
Almacenamiento HDD 500 GB Refurb. Toshiba Gde.,,,ALMACENAMIENTO-HDD-500-GB-REFURB-T,HDD,refurbished,activo,5,1,0,0
Almacenamiento HDD 500 GB Refurb. WD nuevo azul.,,,ALMACENAMIENTO-HDD-500-GB-REFURB-W,HDD,refurbished,activo,3,1,0,0
Almacenamiento HDD 500 GB Refurb. WD azul,,,ALMACENAMIENTO-HDD-500-GB-REFURB-W-2,HDD,refurbished,activo,7,1,0,0
Almacenamiento Micro SD 128 GB TeamGroup,,,ALMACENAMIENTO-MICRO-SD-128-GB-TEA,ALMACENAMIENTO,nuevo,activo,5,1,0,0
Almacenamiento Micro SD 256 GB TeamGroup 4k,,,ALMACENAMIENTO-MICRO-SD-256-GB-TEA,ALMACENAMIENTO,nuevo,activo,2,1,0,0
Almacenamiento Micro SD 64 GB Patriot,,,ALMACENAMIENTO-MICRO-SD-64-GB-PATR,ALMACENAMIENTO,nuevo,activo,5,1,0,0
Almacenamiento Pendrive 16 GB kingston,,,ALMACENAMIENTO-PENDRIVE-16-GB-KING,ALMACENAMIENTO,nuevo,activo,9,1,0,0
Almacenamiento Pendrive 128 GB kingston,,,ALMACENAMIENTO-PENDRIVE-128-GB-KIN,ALMACENAMIENTO,nuevo,activo,4,1,0,0
Almacenamiento Pendrive 256 GB Sandisk,,,ALMACENAMIENTO-PENDRIVE-256-GB-SAN,ALMACENAMIENTO,nuevo,activo,2,1,0,0
Almacenamiento Pendrive 64 GB Kingston,,,ALMACENAMIENTO-PENDRIVE-64-GB-KING,ALMACENAMIENTO,nuevo,activo,0,1,0,0
Almacenamiento Pendrive 64 GB Teamgroup mini,,,ALMACENAMIENTO-PENDRIVE-64-GB-TEAM,ALMACENAMIENTO,nuevo,activo,2,1,0,0
Almacenamiento Pendrive 8 GB KINGSTON,,,ALMACENAMIENTO-PENDRIVE-8-GB-KINGS,ALMACENAMIENTO,nuevo,activo,7,1,0,0
Almacenamiento SSD 1 TB Crucial,,,ALMACENAMIENTO-SSD-1-TB-CRUCIAL,SSD,nuevo,activo,1,1,0,0
Almacenamiento SSD 1 TB Element,,,ALMACENAMIENTO-SSD-1-TB-ELEMENT,SSD,nuevo,activo,0,1,0,0
Almacenamiento SSD 1 TB Mushkin Element,,,ALMACENAMIENTO-SSD-1-TB-MUSHKIN-EL,SSD,nuevo,activo,2,1,0,0
Almacenamiento SSD 120 GB Kingston chino,,,ALMACENAMIENTO-SSD-120-GB-KINGSTON,SSD,nuevo,activo,0,1,0,0
Almacenamiento SSD 120 GB Patriot,,,ALMACENAMIENTO-SSD-120-GB-PATRIOT,SSD,nuevo,activo,0,1,0,0
Almacenamiento SSD 128 GB caja azul,,,ALMACENAMIENTO-SSD-128-GB-CAJA-AZU,SSD,nuevo,activo,0,1,0,0
Almacenamiento SSD 128 GB Hiksemi,,,ALMACENAMIENTO-SSD-128-GB-HIKSEMI,SSD,nuevo,activo,0,1,0,0
Almacenamiento SSD 240 GB Mushkin Element,,,ALMACENAMIENTO-SSD-240-GB-MUSHKIN-,SSD,nuevo,activo,4,1,0,0
Almacenamiento SSD 240 GB MSI,,,ALMACENAMIENTO-SSD-240-GB-MSI,SSD,nuevo,activo,0,1,0,0
Almacenamiento SSD 256 GB Hiksemi Hikvision,,,ALMACENAMIENTO-SSD-256-GB-HIKSEMI-,SSD,nuevo,activo,3,1,0,0
Almacenamiento SSD 256 GB Patriot,,,ALMACENAMIENTO-SSD-256-GB-PATRIOT,SSD,nuevo,activo,4,1,0,0
Almacenamiento SSD 480 GB Adata,,,ALMACENAMIENTO-SSD-480-GB-ADATA,SSD,nuevo,activo,6,1,0,0
Almacenamiento SSD 512 GB HIKSEMI,,,ALMACENAMIENTO-SSD-512-GB-HIKSEMI,SSD,nuevo,activo,2,1,0,0
