nombre,marca,modelo,sku,categoria,condicion,estado,stockTienda,stockDeposito,stockMinimo,costoUSD,precioVentaBaseUSD
Brazo para Microfono,,,BRAZO-PARA-MICROFONO,ACCESORIOS,nuevo,activo,0,6,1,0,0
Capturadora de Video NZXT Signal,,,CAPTURADORA-DE-VIDEO-NZXT-SIGNAL,ACCESORIOS,nuevo,activo,0,0,1,0,0
Capturadora de Video Redragon,,,CAPTURADORA-DE-VIDEO-REDRAGON,ACCESORIOS,nuevo,activo,0,0,1,0,0
Consola de sonido Mixer Grande,,,CONSOLA-DE-SONIDO-MIXER-GRANDE,ACCESORIOS,nuevo,activo,0,2,1,0,0
Convertidor Bluthooth carro,,,CONVERTIDOR-BLUTHOOTH-CARRO,ACCESORIOS,nuevo,activo,0,0,1,0,0
Dedales gamer,,,DEDALES-GAMER,ACCESORIOS,nuevo,activo,0,0,1,0,0
Extension de puertos USB PCIe orico,,,EXTENSION-DE-PUERTOS-USB-PCIE-ORIC,ACCESORIOS,nuevo,activo,0,0,1,0,0
Fire Stick 4K,,,FIRE-STICK-4K,ACCESORIOS,nuevo,activo,0,0,1,0,0
Fire Stick Tv HD,,,FIRE-STICK-TV-HD,ACCESORIOS,nuevo,activo,1,2,1,0,0
"Game Box Ps5 mini, juego",,,GAME-BOX-PS5-MINI-JUEGO,ACCESORIOS,nuevo,activo,1,1,1,0,0
Hub 3 Puertos,,,HUB-3-PUERTOS,ACCESORIOS,nuevo,activo,1,8,1,0,0
Hub 4 en 1 4k,,,HUB-4-EN-1-4K,ACCESORIOS,nuevo,activo,0,2,1,0,0
Hub 7 Puertos,,,HUB-7-PUERTOS,ACCESORIOS,nuevo,activo,0,1,1,0,0
"Hub 8 multipuertos, caja amarilla",,,HUB-8-MULTIPUERTOS-CAJA-AMARILLA,ACCESORIOS,nuevo,activo,0,0,1,0,0
Hub fan cooler caja gris,,,HUB-FAN-COOLER-CAJA-GRIS,COOLING,nuevo,activo,0,0,1,0,0
Hub fan cooler interno pc,,,HUB-FAN-COOLER-INTERNO-PC,COOLING,nuevo,activo,0,0,1,0,0
Kit de Destornilladores,,,KIT-DE-DESTORNILLADORES,ACCESORIOS,nuevo,activo,2,2,1,0,0
Lector Macro SD,,,LECTOR-MACRO-SD,ACCESORIOS,nuevo,activo,3,0,1,0,0
Lector Macro y Micro SD,,,LECTOR-MACRO-Y-MICRO-SD,ACCESORIOS,nuevo,activo,2,0,1,0,0
Luces Led,,,LUCES-LED,ACCESORIOS,nuevo,activo,0,3,1,0,0
Pantalla Streaming Redragon StreamCraf,,,PANTALLA-STREAMING-REDRAGON-STREAM,ACCESORIOS,nuevo,activo,1,0,1,0,0
Pilas 2032,,,PILAS-2032,ACCESORIOS,nuevo,activo,0,0,1,0,0
Repetidor WIFI,,,REPETIDOR-WIFI,ACCESORIOS,nuevo,activo,0,0,1,0,0
Reposa Mu�eca Redragon,,,REPOSA-MU-ECA-REDRAGON,ACCESORIOS,nuevo,activo,0,0,1,0,0
Soporte para grafica,,,SOPORTE-PARA-GRAFICA,ACCESORIOS,nuevo,activo,1,2,1,0,0
Spliter HDMI,,,SPLITER-HDMI,ACCESORIOS,nuevo,activo,0,0,1,0,0
Switch Cudy 5 puertos gigabit,,,SWITCH-CUDY-5-PUERTOS-GIGABIT,ACCESORIOS,nuevo,activo,1,1,1,0,0
Switch Cudy 8 puertos gigabit,,,SWITCH-CUDY-8-PUERTOS-GIGABIT,ACCESORIOS,nuevo,activo,0,0,1,0,0
Switches HDMI,,,SWITCHES-HDMI,ACCESORIOS,nuevo,activo,0,0,1,0,0
Tarjeta de Sonido blanca sencilla,,,TARJETA-DE-SONIDO-BLANCA-SENCILLA,ACCESORIOS,nuevo,activo,3,0,1,0,0
Tarjeta de Sonido bolsita transparente,,,TARJETA-DE-SONIDO-BOLSITA-TRANSPAR,ACCESORIOS,nuevo,activo,1,0,1,0,0
Tarjeta de sonido negra,,,TARJETA-DE-SONIDO-NEGRA,ACCESORIOS,nuevo,activo,0,0,1,0,0
"Tarjeta de sonido Sound Blaster, caja negra",,,TARJETA-DE-SONIDO-SOUND-BLASTER-CA,ACCESORIOS,nuevo,activo,0,0,1,0,0
Thermalpads (67=0.5 / 21=1.0 / 21=1.5),,,THERMALPADS-67-0-5-21-1-0-21-1-5,ACCESORIOS,nuevo,activo,0,0,1,0,0
Bluethooth 5.0,,,BLUETHOOTH-5-0,ACCESORIOS,nuevo,activo,0,0,1,0,0
Bluethooth 5.3,,,BLUETHOOTH-5-3,ACCESORIOS,nuevo,activo,1,5,1,0,0
Bluetooth para carro,,,BLUETOOTH-PARA-CARRO,ACCESORIOS,nuevo,activo,2,3,1,0,0
DP - HDMI,,,DP-HDMI,ACCESORIOS,nuevo,activo,1,14,1,0,0
DP - VGA,,,DP-VGA,ACCESORIOS,nuevo,activo,0,0,1,0,0
DVI - HDMI peque�o,,,DVI-HDMI-PEQUE-O,ACCESORIOS,nuevo,activo,0,4,1,0,0
DVI - VGA,,,DVI-VGA,ACCESORIOS,nuevo,activo,1,6,1,0,0
DVI - VGA peque�o,,,DVI-VGA-PEQUE-O,ACCESORIOS,nuevo,activo,0,0,1,0,0
"ethernet - USB (Doble Banda), caja azul",,,ETHERNET-USB-DOBLE-BANDA-CAJA-AZUL,ACCESORIOS,nuevo,activo,0,0,1,0,0
HDMI - USB,,,HDMI-USB,ACCESORIOS,nuevo,activo,0,0,1,0,0
HDMI - VGA,,,HDMI-VGA,ACCESORIOS,nuevo,activo,6,10,1,0,0
HDMI- Tipo C laptop,,,HDMI-TIPO-C-LAPTOP,ACCESORIOS,nuevo,activo,0,0,1,0,0
Jack (1 a 2) cable Audio Y,,,JACK-1-A-2-CABLE-AUDIO-Y,ACCESORIOS,nuevo,activo,4,7,1,0,0
Jack (2 a 1) cable Audio Y,,,JACK-2-A-1-CABLE-AUDIO-Y,ACCESORIOS,nuevo,activo,0,7,1,0,0
RCA - Plug,,,RCA-PLUG,ACCESORIOS,nuevo,activo,0,0,1,0,0
Tipo C - HDMI,,,TIPO-C-HDMI,ACCESORIOS,nuevo,activo,2,2,1,0,0
Union de cable Lan,,,UNION-DE-CABLE-LAN,ACCESORIOS,nuevo,activo,1,8,1,0,0
USB C a HDMI/VGA,,,USB-C-A-HDMI-VGA,ACCESORIOS,nuevo,activo,0,0,1,0,0
VGA - HDMI (caja azul),,,VGA-HDMI-CAJA-AZUL,ACCESORIOS,nuevo,activo,0,0,1,0,0
VGA - HDMI (caja verde),,,VGA-HDMI-CAJA-VERDE,ACCESORIOS,nuevo,activo,0,0,1,0,0
externo 1 TB Kinspec,,,EXTERNO-1-TB-KINSPEC,ALMACENAMIENTO,nuevo,activo,0,0,1,0,0
externo HDD 1 TB Seagate,,,EXTERNO-HDD-1-TB-SEAGATE,HDD,nuevo,activo,0,0,1,0,0
externo HDD 1 TB Toshiba,,,EXTERNO-HDD-1-TB-TOSHIBA,HDD,nuevo,activo,0,0,1,0,0
externo HDD 2 TB Seagate,,,EXTERNO-HDD-2-TB-SEAGATE,HDD,nuevo,activo,0,0,1,0,0
externo HDD 2 TB Toshiba,,,EXTERNO-HDD-2-TB-TOSHIBA,HDD,nuevo,activo,0,0,1,0,0
externo SSD 1 TB Crucial 1050 mb,,,EXTERNO-SSD-1-TB-CRUCIAL-1050-MB,SSD,nuevo,activo,0,0,1,0,0
externo SSD 500 GB Adata,,,EXTERNO-SSD-500-GB-ADATA,SSD,nuevo,activo,0,0,1,0,0
HDD 1 TB Refurb. WD Morado Gde.,,,HDD-1-TB-REFURB-WD-MORADO-GDE,HDD,refurbished,activo,0,0,1,0,0
HDD 1 TB WD Azul,,,HDD-1-TB-WD-AZUL,HDD,nuevo,activo,0,0,1,0,0
HDD 4 TB WD Morado Gde.,,,HDD-4-TB-WD-MORADO-GDE,HDD,nuevo,activo,0,0,1,0,0
HDD 500 GB Refurb. Laptop Hitachi,,,HDD-500-GB-REFURB-LAPTOP-HITACHI,HDD,refurbished,activo,0,7,1,0,0
HDD 500 GB Refurb. Laptop surtido,,,HDD-500-GB-REFURB-LAPTOP-SURTIDO,HDD,refurbished,activo,0,0,1,0,0
HDD 500 GB Refurb. Seagate Gde.,,,HDD-500-GB-REFURB-SEAGATE-GDE,HDD,refurbished,activo,0,6,1,0,0
HDD 500 GB Refurb. Toshiba Gde.,,,HDD-500-GB-REFURB-TOSHIBA-GDE,HDD,refurbished,activo,0,5,1,0,0
HDD 500 GB Refurb. WD nuevo azul.,,,HDD-500-GB-REFURB-WD-NUEVO-AZUL,HDD,refurbished,activo,0,3,1,0,0
HDD 500 GB Refurb. WD azul,,,HDD-500-GB-REFURB-WD-AZUL,HDD,refurbished,activo,0,7,1,0,0
Micro SD 128 GB TeamGroup,,,MICRO-SD-128-GB-TEAMGROUP,ALMACENAMIENTO,nuevo,activo,1,4,1,0,0
Micro SD 256 GB TeamGroup 4k,,,MICRO-SD-256-GB-TEAMGROUP-4K,ALMACENAMIENTO,nuevo,activo,1,1,1,0,0
Micro SD 64 GB Patriot,,,MICRO-SD-64-GB-PATRIOT,ALMACENAMIENTO,nuevo,activo,1,4,1,0,0
Pendrive 16 GB kingston,,,PENDRIVE-16-GB-KINGSTON,ALMACENAMIENTO,nuevo,activo,0,9,1,0,0
Pendrive 128 GB kingston,,,PENDRIVE-128-GB-KINGSTON,ALMACENAMIENTO,nuevo,activo,1,3,1,0,0
Pendrive 256 GB Sandisk,,,PENDRIVE-256-GB-SANDISK,ALMACENAMIENTO,nuevo,activo,1,1,1,0,0
Pendrive 64 GB Kingston,,,PENDRIVE-64-GB-KINGSTON,ALMACENAMIENTO,nuevo,activo,0,0,1,0,0
Pendrive 64 GB Teamgroup mini,,,PENDRIVE-64-GB-TEAMGROUP-MINI,ALMACENAMIENTO,nuevo,activo,0,2,1,0,0
Pendrive 8 GB KINGSTON,,,PENDRIVE-8-GB-KINGSTON,ALMACENAMIENTO,nuevo,activo,1,6,1,0,0
SSD 1 TB Crucial,,,SSD-1-TB-CRUCIAL,SSD,nuevo,activo,1,0,1,0,0
SSD 1 TB Element,,,SSD-1-TB-ELEMENT,SSD,nuevo,activo,0,0,1,0,0
SSD 1 TB Mushkin Element,,,SSD-1-TB-MUSHKIN-ELEMENT,SSD,nuevo,activo,1,1,1,0,0
SSD 120 GB Kingston chino,,,SSD-120-GB-KINGSTON-CHINO,SSD,nuevo,activo,0,0,1,0,0
SSD 120 GB Patriot,,,SSD-120-GB-PATRIOT,SSD,nuevo,activo,0,0,1,0,0
SSD 128 GB caja azul,,,SSD-128-GB-CAJA-AZUL,SSD,nuevo,activo,0,0,1,0,0
